scan,scan_ns,pid,alias,anchor_rep,published_raw,d,y,v,a,member_age_s
135,3378890377375,1000004,36,5,5,28.443958282470703,-4.0,-2.25,0.6384663238979529,0.024907723000000003
136,3378990135236,1000004,36,5,5,27.936683654785156,-3.875,-2.5,0.0788452635921233,0.025326589
137,3379090431691,1000004,36,5,5,27.688199996948242,-3.875,-2.5,-0.06689453256632105,0.024719772
138,3379190064459,1000004,36,5,5,27.43690299987793,-4.0625,-2.5,-0.05350789595477834,0.025238421
139,3379290603859,1000004,36,5,5,27.1878662109375,-4.09375,-2.5,-0.005514721532312583,0.024853510000000002
140,3379390178456,1000004,36,5,5,26.937116622924805,-4.03125,-2.5,0.07070852617510526,0.025153690000000003
141,3379490532562,1000004,36,5,5,26.687164306640625,-4.09375,-2.5,0.13604796999354107,0.025133952
142,3379590302921,1000004,36,5,5,26.4359130859375,-4.09375,-2.5,0.16043025886080053,0.025635050000000003
143,3379690640310,1000004,36,5,5,26.19390869140625,-4.1875,-2.25,0.6702879845782856,0.024929648000000002
144,3379789992845,1000004,36,5,5,25.943239212036133,-4.0625,-2.25,0.7749204525626133,0.025226807
145,3379890999440,1000004,36,5,5,25.695388793945312,-4.15625,-2.25,0.6754887511421565,0.024271691
146,3379991755539,1000004,36,5,5,25.696727752685547,-4.15625,-2.25,0.5595193151946155,0.023676487000000003
147,3380092115113,1000004,36,5,5,25.453996658325195,-4.1875,-2.25,0.45549926091650295,0.020445754
148,3380190454515,1000004,36,5,5,25.193819046020508,-4.1875,-2.25,0.4053541260077704,0.024969540000000002
149,3380290969751,1000004,36,5,5,24.943159103393555,-4.125,-2.25,0.3566930529078552,0.025262586
150,3380390213911,1000004,36,5,5,24.442729949951172,-4.15625,-2.25,0.2923947303445727,0.025453192000000003
151,3380490204458,1000004,36,5,5,24.43841552734375,-4.1875,-2.5,-0.2465106312997925,0.024634051
152,3380590642930,1000004,36,5,5,24.188610076904297,-4.1875,-2.5,-0.2784689545929691,0.024555726
153,3380690539371,1000004,36,5,5,23.93782615661621,-4.1875,-2.5,-0.19822954417186872,0.024869186
154,3380790144122,1000004,36,5,5,23.686473846435547,-4.15625,-2.5,-0.07697473335374633,0.025410696
