key,policy,pid,scan,scan_ns,stable_members,old_raw,new_raw,abs_delta_d,abs_delta_y,abs_delta_v
00000245--2c15eb5d45--21,P0,1000032,42,1320099192657,1,34,31,2.4801559448242188,0.0625,0.25
00000245--2c15eb5d45--21,P0,1000033,42,1320099192657,1,43,32,1.9914779663085938,0.59375,0.0
00000245--2c15eb5d45--21,P0,1000051,42,1320099192657,1,51,49,2.256072998046875,0.5625,0.25
00000245--2c15eb5d45--21,P0,1000055,42,1320099192657,1,53,59,2.2616729736328125,0.28125,0.0
00000245--2c15eb5d45--21,P0,1000058,42,1320099192657,1,56,55,2.2357177734375,0.21875,0.25
00000245--2c15eb5d45--21,P0,1000063,42,1320099192657,1,62,61,2.26983642578125,0.0625,0.25
00000245--2c15eb5d45--21,P0,1000066,42,1320099192657,1,66,64,2.2385025024414062,0.09375,0.25
00000245--2c15eb5d45--21,P0,1000079,53,1321199485211,1,76,74,2.498626708984375,0.3125,0.25
00000245--2c15eb5d45--21,P0,1000034,57,1321599498354,1,40,69,1.0022735595703125,0.1875,0.0
00000245--2c15eb5d45--21,P0,1000034,58,1321699397576,1,69,40,2.7500534057617188,0.125,0.25
00000245--2c15eb5d45--21,P0,1000071,65,1322399126997,1,68,62,2.719127655029297,0.21875,0.0
00000245--2c15eb5d45--21,P0,1000073,65,1322399126997,1,70,66,2.9775009155273438,0.1875,0.5
00000245--2c15eb5d45--21,P0,1000073,66,1322498812145,1,66,70,2.2979469299316406,0.1875,0.5
00000245--2c15eb5d45--21,P0,1000079,66,1322498812145,1,74,76,2.5211257934570312,0.34375,0.25
00000245--2c15eb5d45--21,P0,1000080,66,1322498812145,1,77,105,3.0241165161132812,0.03125,0.0
00000245--2c15eb5d45--21,P0,1000091,66,1322498812145,1,88,97,2.7701416015625,0.03125,0.0
00000245--2c15eb5d45--21,P0,1000073,67,1322599347275,1,70,66,2.9532737731933594,0.21875,0.5
00000245--2c15eb5d45--21,P0,1000079,67,1322599347275,1,76,74,2.7311630249023438,0.34375,0.5
00000245--2c15eb5d45--21,P0,1000080,67,1322599347275,1,105,77,2.2252025604248047,0.03125,0.0
00000245--2c15eb5d45--21,P0,1000086,67,1322599347275,1,83,78,2.4866943359375,0.03125,0.25
00000245--2c15eb5d45--21,P0,1000091,67,1322599347275,1,97,88,2.4810638427734375,0.0625,0.0
00000245--2c15eb5d45--21,P0,1000155,111,1326999812340,1,152,168,2.024261474609375,0.0625,0.25
00000245--2c15eb5d45--21,P0,1000155,115,1327398744339,1,168,152,2.244457244873047,0.03125,0.25
00000245--2c15eb5d45--21,P0,1000155,116,1327499453452,1,152,168,1.7568168640136719,0.0625,0.25
00000245--2c15eb5d45--21,P0,1000292,278,1343698884415,1,287,282,2.8010635375976562,0.03125,0.0
00000245--2c15eb5d45--21,P0,1000314,282,1344099057151,1,309,302,2.957164764404297,0.0,0.0
00000245--2c15eb5d45--21,P0,1000314,292,1345099011317,1,302,304,2.954631805419922,0.03125,0.0
00000245--2c15eb5d45--21,P0,1000311,296,1345499159717,1,306,325,2.533824920654297,0.15625,0.25
00000245--2c15eb5d45--21,P0,1000325,296,1345499159717,1,320,323,3.2100830078125,0.1875,0.0
00000245--2c15eb5d45--21,P0,1000325,299,1345790406798,1,323,322,2.9886016845703125,0.40625,0.0
00000245--2c15eb5d45--21,P0,1000334,299,1345790406798,1,327,320,3.196063995361328,0.15625,0.0
00000245--2c15eb5d45--21,P0,1000304,302,1346100105038,1,316,298,2.7918758392333984,0.0,0.25
00000245--2c15eb5d45--21,P0,1000330,310,1346899431197,1,326,327,2.9948272705078125,0.09375,0.25
00000245--2c15eb5d45--21,P0,1000343,310,1346899431197,1,335,324,3.000720977783203,0.125,0.25
00000245--2c15eb5d45--21,P0,1000348,310,1346899431197,1,338,334,2.9910964965820312,0.28125,0.0
00000245--2c15eb5d45--21,P0,1000353,310,1346899431197,1,342,343,2.4910964965820312,0.21875,0.0
