key,pid,pattern,start_scan,end_scan,duration_s,representatives,stable_members,member_sets
00000247--b657952782--19,1000321,A_B_A,254,256,0.20101689,318|332|318,1,318|332;318|332;318|332
00000247--b657952782--19,1000523,A_B_A,362,371,0.9007895840000001,502|501|502,1,501|502;501|502;501|502
00000247--b657952782--19,1000523,A_B_A,370,376,0.599933583,501|502|501,1,501|502;501|502;501|502
00000247--b657952782--19,1000523,A_B_A,375,378,0.299566096,502|501|502,1,501|502;501|502;501|502
00000247--b657952782--19,1000647,A_B_A,492,495,0.301511859,626|624|626,1,624|626;624|626;624|626
00000247--b657952782--2,1000431,A_B_A,342,344,0.19996606500000003,394|379|394,1,379|389|394;379|389|394;379|389|394
00000247--b657952782--20,1000000,A_B_A,2,4,0.200112851,11|1|11,1,1|11;1|11;1|11
00000247--b657952782--20,1000006,A_B_A,2,4,0.200112851,18|7|18,1,7|18;7|18;7|18
00000247--b657952782--20,1000000,A_B_A,3,5,0.199189619,1|11|1,1,1|11;1|11;1|11
00000247--b657952782--20,1000006,A_B_A,3,5,0.199189619,7|18|7,1,7|18;7|18;7|18
00000247--b657952782--20,1000000,A_B_A,4,6,0.19950873400000002,11|1|11,1,1|11;1|11;1|11
00000247--b657952782--20,1000035,A_B_A,28,30,0.20033489200000001,39|36|39,1,36|39;36|39;36|39
00000247--b657952782--20,1000088,A_B_A,85,87,0.201781072,89|86|89,1,86|89;86|89;86|89
00000247--b657952782--20,1000079,A_B_A,86,88,0.199721173,90|77|90,1,77|90;77|90;77|90
00000247--b657952782--20,1000088,A_B_A,86,88,0.199721173,86|89|86,1,86|89;86|89;86|89
00000247--b657952782--20,1000079,A_B_A,87,89,0.19853690100000002,77|90|77,1,77|90;77|90;77|90
00000247--b657952782--20,1000088,A_B_A,87,89,0.19853690100000002,89|86|89,1,86|89;86|89;86|89
00000247--b657952782--20,1000094,A_B_A,87,89,0.19853690100000002,94|92|94,1,92|94;92|94;92|94
00000247--b657952782--20,1000079,A_B_A,88,92,0.39887003400000004,90|77|90,1,77|90;77|90;77|90
00000247--b657952782--20,1000088,A_B_A,88,92,0.39887003400000004,86|89|86,1,86|89;86|89;86|89
00000247--b657952782--20,1000094,A_B_A,88,92,0.39887003400000004,92|94|92,1,92|94;92|94;92|94
00000247--b657952782--20,1000088,A_B_A,91,102,1.101962515,89|86|89,1,86|89;86|89;86|89
00000247--b657952782--20,1000088,A_B_A,101,104,0.30130837200000005,86|89|86,1,86|89;86|89;86|89
00000247--b657952782--20,1000088,A_B_A,103,105,0.198486341,89|86|89,1,86|89;86|89;86|89
00000247--b657952782--20,1000358,A_B_A,342,344,0.199768888,350|351|350,1,350|351;350|351;350|351
00000247--b657952782--20,1000373,A_B_A,351,356,0.500291515,370|365|370,1,365|370;365|370;365|370
00000247--b657952782--20,1000373,A_B_A,355,359,0.39974232600000004,365|370|365,1,365|370;365|370;365|370
00000247--b657952782--20,1000373,A_B_A,358,368,1.001194597,370|365|370,1,365|370;365|370;365|370
00000247--b657952782--20,1000421,A_B_A,403,408,0.501073962,412|411|412,1,411|412;411|412;411|412
00000247--b657952782--20,1000421,A_B_A,407,409,0.19927338300000003,411|412|411,1,411|412;411|412;411|412
00000247--b657952782--20,1000421,A_B_A,408,413,0.49879534300000006,412|411|412,1,411|412;411|412;411|412
00000247--b657952782--20,1000473,A_B_A,449,451,0.20051514,463|462|463,1,462|463;462|463;462|463
00000247--b657952782--21,1000075,A_B_A,49,53,0.400219333,72|75|72,1,72|75;72|75;72|75
00000247--b657952782--21,1000149,A_B_A,110,122,1.208299663,154|146|154,1,146|154;146|154;146|154
00000247--b657952782--21,1000217,A_B_A,183,188,0.5008334870000001,214|208|214,1,208|214;208|214;208|214
00000247--b657952782--21,1000217,A_B_A,187,193,0.609982173,208|214|208,1,208|214;208|214;208|214
00000247--b657952782--21,1000329,A_B_A,346,351,0.49981693000000005,320|317|320,1,317|320;317|320;317|320
00000247--b657952782--21,1000329,A_B_A,350,355,0.49985749,317|320|317,1,317|320;317|320;317|320
00000247--b657952782--21,1000329,A_B_A,354,358,0.400521416,320|317|320,1,317|320;317|320;317|320
00000247--b657952782--21,1000338,A_B_A,354,356,0.199780585,327|325|327,1,325|327;325|327;325|327
00000247--b657952782--21,1000338,A_B_A,355,360,0.500135073,325|327|325,1,325|327;325|327;325|327
00000247--b657952782--21,1000329,A_B_A,357,360,0.29992079600000005,317|320|317,1,317|320;317|320;317|320
00000247--b657952782--21,1000329,A_B_A,359,361,0.19892351600000002,320|317|320,1,317|320;317|320;317|320
00000247--b657952782--21,1000338,A_B_A,359,361,0.19892351600000002,327|325|327,1,325|327;325|327;325|327
00000247--b657952782--21,1000338,A_B_A,360,365,0.500112456,325|327|325,1,325|327;325|327;325|327
00000247--b657952782--21,1000338,A_B_A,364,366,0.1991815,327|325|327,1,325|327;325|327;325|327
00000247--b657952782--21,1000351,A_B_A,368,371,0.300311574,339|338|339,1,338|339;338|339;338|339
00000247--b657952782--21,1000344,A_B_A,373,375,0.200795087,336|331|336,1,331|336;331|336;331|336
00000247--b657952782--21,1000344,A_B_A,374,379,0.501000468,331|336|331,1,331|336;331|336;331|336
00000247--b657952782--21,1000397,A_B_A,479,481,0.19965801500000002,384|383|384,1,383|384;383|384;383|384
00000247--b657952782--21,1000397,A_B_A,480,483,0.29977284800000004,383|384|383,1,383|384;383|384;383|384
00000247--b657952782--21,1000397,A_B_A,482,484,0.199901781,384|383|384,1,383|384;383|384;383|384
00000247--b657952782--22,1000001,A_B_A,17,21,0.399317678,10|2|10,1,2|10;2|10;2|10
00000247--b657952782--22,1000044,A_B_A,46,49,0.300091578,47|45|47,1,45|47;45|47;45|47
00000247--b657952782--23,1000173,A_B_A,303,310,0.699631325,176|174|176,1,174|176;174|176;174|176
00000247--b657952782--24,1000040,A_B_A,33,35,0.19877719400000002,41|40|41,1,40|41;40|41;40|41
00000247--b657952782--24,1000024,A_B_A,34,39,0.49944961800000004,59|24|59,1,24|59;24|59;24|59
00000247--b657952782--24,1000024,A_B_A,38,42,0.40014939800000004,24|59|24,1,24|59;24|59;24|59
00000247--b657952782--24,1000048,A_B_A,43,45,0.200472482,66|48|66,1,48|66;48|66;48|66
00000247--b657952782--24,1000061,A_B_A,43,45,0.200472482,55|60|55,1,55|60;55|60;55|60
00000247--b657952782--24,1000191,A_B_A,153,158,0.49975256,182|179|182,1,179|182;179|182;179|182
00000247--b657952782--24,1000547,A_B_A,501,506,0.50019038,526|519|526,1,519|526;519|526;519|526
00000247--b657952782--24,1000547,A_B_A,505,509,0.39980054400000004,519|526|519,1,519|526;519|526;519|526
00000247--b657952782--24,1000620,A_B_A,571,589,1.7998104300000002,638|585|638,1,585|638;585|638;585|638
00000247--b657952782--24,1000641,A_B_A,577,582,0.499675754,609|604|609,1,604|609;604|609;604|609
00000247--b657952782--24,1000666,A_B_A,577,579,0.19981142100000002,640|629|640,1,629|640;629|640;629|640
00000247--b657952782--24,1000666,A_B_A,578,581,0.299845537,629|640|629,1,629|640;629|640;629|640
00000247--b657952782--24,1000666,A_B_A,580,582,0.20022608700000002,640|629|640,1,629|640;629|640;629|640
00000247--b657952782--24,1000641,A_B_A,581,584,0.300928652,604|609|604,1,604|609;604|609;604|609
00000247--b657952782--24,1000666,A_B_A,581,584,0.300928652,629|640|629,1,629|640;629|640;629|640
00000247--b657952782--24,1000641,A_B_A,583,589,0.599169383,609|604|609,1,604|609;604|609;604|609
00000247--b657952782--24,1000666,A_B_A,583,585,0.199136223,640|629|640,1,629|640;629|640;629|640
00000247--b657952782--24,1000666,A_B_A,584,587,0.29917944700000004,629|640|629,1,629|640;629|640;629|640
00000247--b657952782--24,1000620,A_B_A,588,591,0.30186580100000004,585|638|585,1,585|638;585|638;585|638
00000247--b657952782--24,1000641,A_B_A,588,591,0.30186580100000004,604|609|604,1,604|609;604|609;604|609
00000247--b657952782--25,1000004,A_B_A,5,7,0.20184088,24|5|24,1,5|24;5|24;5|24
00000247--b657952782--25,1000015,A_B_A,5,7,0.20184088,27|16|27,1,16|27;16|27;16|27
00000247--b657952782--25,1000016,A_B_A,5,7,0.20184088,22|17|22,1,17|22;17|22;17|22
00000247--b657952782--25,1000030,A_B_A,5,7,0.20184088,32|31|32,1,31|32;31|32;31|32
00000247--b657952782--25,1000004,A_B_A,6,11,0.497467347,5|24|5,1,5|24;5|24;5|24
00000247--b657952782--25,1000015,A_B_A,6,11,0.497467347,16|27|16,1,16|27;16|27;16|27
00000247--b657952782--25,1000016,A_B_A,6,11,0.497467347,17|22|17,1,17|22;17|22;17|22
00000247--b657952782--25,1000004,A_B_A,10,12,0.200227397,24|5|24,1,5|24;5|24;5|24
00000247--b657952782--25,1000008,A_B_A,10,12,0.200227397,25|9|25,1,9|25;9|25;9|25
00000247--b657952782--25,1000015,A_B_A,10,12,0.200227397,27|16|27,1,16|27;16|27;16|27
