key,candidate,scans,baseline_fractures,suppressed_fractures,grouping_changed_scans,member_count_changed_scans,new_merge_objects,new_split_objects,new_merge_episodes,persistent_new_merges,publication_changed_scans,representative_changes,pid_births,relaxed_edge_scans,state_peak,cpu_mean_us,cpu_p95_us,cpu_p99_us,cpu_max_us
00000283--b395338ef9--49,C_QUANTIZED,28,0,0,0,0,0,0,0,0,0,0,5,0,6,53.082026143790856,249.04999999999998,375.31999999999914,682.1
00000283--b395338ef9--5,C_QUANTIZED,600,2,0,0,0,0,0,0,0,0,20,314,1,34,155.63877959319734,829.7449999999999,1431.398999999999,140106.6
00000283--b395338ef9--6,C_QUANTIZED,600,25,10,10,7,10,3,10,0,560,52,508,13,30,170.50766538910224,1045.7,1709.0,147715.4
00000283--b395338ef9--7,C_QUANTIZED,600,1,1,1,1,1,0,1,0,1,23,415,3,10,143.0598333333335,819.2400000000002,1409.398000000002,89495.9
00000283--b395338ef9--8,C_QUANTIZED,600,29,15,15,10,16,7,16,0,333,107,647,32,36,174.84819136522708,1087.1399999999996,1907.7759999999957,81742.7
00000283--b395338ef9--9,C_QUANTIZED,600,5,1,6,1,6,5,3,1,539,9,266,3,12,122.58361939676723,609.6,957.3,84598.0
00000285--27dca1de75--10,C_QUANTIZED,599,25,19,18,13,19,6,19,0,536,64,450,31,24,153.85012502083623,825.1199999999999,1424.3699999999935,106204.5
00000285--27dca1de75--11,C_QUANTIZED,599,12,5,5,5,5,0,5,0,106,25,422,8,14,141.51918653108848,735.959999999999,1244.2719999999958,133355.7
00000285--27dca1de75--12,C_QUANTIZED,600,6,4,5,4,5,1,5,0,113,50,491,4,16,121.02332944509249,727.1,1266.7,4629.0
00000285--27dca1de75--13,C_QUANTIZED,600,40,15,26,14,33,19,16,2,439,86,612,22,40,202.03547257876284,1233.1599999999996,2368.8579999999893,130818.1
00000285--27dca1de75--14,C_QUANTIZED,600,5,3,3,2,3,1,3,0,151,31,252,4,10,89.42807134522418,427.91999999999985,716.2719999999983,60349.0
00000285--27dca1de75--15,C_QUANTIZED,600,15,9,10,8,10,2,10,0,448,61,392,10,14,132.40013335555886,700.7299999999992,1034.4659999999985,113572.6
00000285--27dca1de75--16,C_QUANTIZED,600,12,4,4,3,4,1,4,0,487,62,452,4,16,126.03853333333323,720.4300000000001,1063.9120000000003,58474.0
00000285--27dca1de75--17,C_QUANTIZED,600,13,4,4,4,4,0,4,0,222,88,465,4,12,151.82381666666626,775.1300000000001,1457.1260000000004,114897.6
00000285--27dca1de75--18,C_QUANTIZED,600,14,7,7,7,7,0,7,0,315,75,410,7,18,144.64549241792977,754.4,1297.5,115938.6
00000285--27dca1de75--19,C_QUANTIZED,600,54,37,38,23,48,30,41,2,495,93,724,44,40,153.67677677677648,827.5599999999991,1845.254999999995,53311.6
00000285--27dca1de75--2,C_QUANTIZED,600,48,18,18,15,18,3,18,0,576,327,696,26,50,228.83654999999996,1510.51,3221.8720000000035,70645.6
00000285--27dca1de75--20,C_QUANTIZED,600,33,27,23,18,27,10,27,0,203,67,656,28,30,141.50085028342858,798.6449999999999,1241.068999999997,80202.4
