event_id,key,route,segment,split_scan,split_ns,parent_pid,parent_alias,parent_published_before,published_child_count,published_child_pids,publication_gap,new_public_point,alias_change,representative_change,external_visible,internal_only
00000245--2c15eb5d45--19:372:1000445:433|441,00000245--2c15eb5d45--19,00000245,19,372,1233099055800,1000445,80,1,2,1000445|1000469,0,1,0,0,1,0
00000245--2c15eb5d45--19:374:1000421:407|421,00000245--2c15eb5d45--19,00000245,19,374,1233299283538,1000421,53,1,2,1000421|1000468,0,1,0,0,1,0
00000245--2c15eb5d45--19:376:1000445:433|441,00000245--2c15eb5d45--19,00000245,19,376,1233498847233,1000445,80,1,2,1000445|1000473,0,1,0,0,1,0
00000245--2c15eb5d45--19:381:1000433:419|447,00000245--2c15eb5d45--19,00000245,19,381,1233998759327,1000433,61,1,2,1000433|1000467,0,1,0,0,1,0
00000245--2c15eb5d45--19:398:1000476:457|462,00000245--2c15eb5d45--19,00000245,19,398,1235698919321,1000476,35,1,2,1000476|1000505,0,1,0,0,1,0
00000245--2c15eb5d45--19:409:1000499:480|485,00000245--2c15eb5d45--19,00000245,19,409,1236799506467,1000499,50,1,2,1000499|1000524,0,1,0,0,1,0
00000245--2c15eb5d45--19:441:1000558:536|537,00000245--2c15eb5d45--19,00000245,19,441,1239999151031,1000558,79,1,2,1000558|1000568,0,1,0,0,1,0
00000245--2c15eb5d45--19:457:1000558:536|538,00000245--2c15eb5d45--19,00000245,19,457,1241599786633,1000558,79,1,2,1000558|1000598,0,1,0,0,1,0
00000245--2c15eb5d45--19:465:1000558:536|538,00000245--2c15eb5d45--19,00000245,19,465,1242399306892,1000558,79,1,2,1000558|1000568,0,1,0,0,1,0
00000245--2c15eb5d45--19:466:1000599:575|583,00000245--2c15eb5d45--19,00000245,19,466,1242499557561,1000599,66,1,2,1000599|1000611,0,1,0,0,1,0
00000245--2c15eb5d45--19:467:1000558:536|576,00000245--2c15eb5d45--19,00000245,19,467,1242599038748,1000558,79,1,2,1000558|1000615,0,1,0,0,1,0
