family_id,key,route,segment,raw_pair,parent_member_sets,split_count,rejoin_count,median_split_interval_s,max_split_interval_s,median_rejoin_latency_s,pid_births,representative_retained,boundary_causes,publication_visible,internal_only
0000026b--4dfb361eee--10:404|446,0000026b--4dfb361eee--10,0000026b,10,404|446,404|446;404|446|493,2,1,1.800148793,1.800148793,0.299667966,0,1,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--10:411|422,0000026b--4dfb361eee--10,0000026b,10,411|422,411|419|422,2,1,0.898800413,0.898800413,0.499828201,2,1,"{""DISTANCE_DIAMETER"":2}",2,0
0000026b--4dfb361eee--10:423|426,0000026b--4dfb361eee--10,0000026b,10,423|426,423|426|427,2,2,0.398740508,0.398740508,0.1989492465,2,1,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--11:315|417,0000026b--4dfb361eee--11,0000026b,11,315|417,315|417,2,1,1.19860849,1.19860849,0.698478301,2,2,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1}",2,0
0000026b--4dfb361eee--2:284|526,0000026b--4dfb361eee--2,0000026b,2,284|526,284|526,3,2,0.300127345,0.399580965,0.19999110199999998,3,3,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":2}",3,0
0000026b--4dfb361eee--2:330|388,0000026b--4dfb361eee--2,0000026b,2,330|388,330|388,2,2,1.298835051,1.298835051,0.849991502,2,2,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--2:345|360,0000026b--4dfb361eee--2,0000026b,2,345|360,345|360,3,2,3.7499828954999996,6.30056063,1.30020031,3,3,"{""LATERAL_DIAMETER"":3}",3,0
0000026b--4dfb361eee--2:423|493,0000026b--4dfb361eee--2,0000026b,2,423|493,423|493,2,1,1.599996186,1.599996186,0.299387703,1,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--3:140|151,0000026b--4dfb361eee--3,0000026b,3,140|151,140|151,3,2,3.8498822280000002,7.300331002,0.1502351135,3,3,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":2}",3,0
0000026b--4dfb361eee--3:183|434,0000026b--4dfb361eee--3,0000026b,3,183|434,183|402|434;183|434,3,1,1.5005182929999998,2.400243979,0.500971957,3,3,"{""DISTANCE_DIAMETER"":3}",3,0
0000026b--4dfb361eee--3:231|232,0000026b--4dfb361eee--3,0000026b,3,231|232,231|232,6,5,1.39928385,7.600501584,0.500035852,3,5,"{""LATERAL_DIAMETER"":3,""LATERAL_GROWTH"":3}",6,0
0000026b--4dfb361eee--4:10|97,0000026b--4dfb361eee--4,0000026b,4,10|97,10|97;10|97|123,3,2,3.8004673585,6.799024889,2.5496463485,3,3,"{""LATERAL_DIAMETER"":2,""LATERAL_GROWTH"":1}",3,0
0000026b--4dfb361eee--4:18|100,0000026b--4dfb361eee--4,0000026b,4,18|100,18|100,2,1,0.900247488,0.900247488,0.400721463,2,2,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--4:425|426,0000026b--4dfb361eee--4,0000026b,4,425|426,425|426,5,4,1.449642769,1.80079822,0.599732378,4,5,"{""DISTANCE_DIAMETER"":2,""DISTANCE_GROWTH"":1,""LATERAL_DIAMETER"":2}",5,0
0000026b--4dfb361eee--4:522|523,0000026b--4dfb361eee--4,0000026b,4,522|523,522|523,2,2,0.399628336,0.399628336,0.249107097,2,2,"{""LATERAL_GROWTH"":2}",2,0
0000026b--4dfb361eee--5:192|194,0000026b--4dfb361eee--5,0000026b,5,192|194,192|194,2,2,0.700747883,0.700747883,0.299994584,2,2,"{""DISTANCE_GROWTH"":2}",2,0
0000026b--4dfb361eee--5:230|235,0000026b--4dfb361eee--5,0000026b,5,230|235,230|235,2,1,0.400388282,0.400388282,0.199870318,1,2,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1}",2,0
0000026b--4dfb361eee--5:241|246,0000026b--4dfb361eee--5,0000026b,5,241|246,241|246,2,1,0.499491761,0.499491761,0.200282443,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--5:260|268,0000026b--4dfb361eee--5,0000026b,5,260|268,260|268;260|268|270,3,2,0.350183173,0.399594419,0.1494916885,4,3,"{""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":2}",3,0
