key,policy,pid,pattern,start_scan,end_scan,duration_s,stable_members
00000247--b657952782--25,P0,1000052,A_B_A,24,27,0.298073984,1
00000247--b657952782--25,P0,1000052,A_B_A,34,36,0.19926916600000003,1
00000247--b657952782--25,P0,1000055,A_B_A,31,33,0.19966477800000001,1
00000247--b657952782--25,P0,1000055,A_B_A,32,35,0.300521576,1
00000247--b657952782--25,P0,1000055,A_B_A,34,36,0.19926916600000003,1
00000247--b657952782--25,P0,1000093,A_B_A,42,45,0.300479473,1
00000247--b657952782--25,P0,1000117,A_B_A,66,69,0.299909972,1
00000247--b657952782--25,P0,1000178,A_B_A,120,122,0.19757843700000002,1
00000247--b657952782--25,P0,1000216,A_B_A,149,159,0.999404821,1
00000247--b657952782--25,P0,1000257,A_B_A,183,185,0.20003184100000002,1
00000247--b657952782--25,P0,1000262,A_B_A,183,185,0.20003184100000002,1
00000247--b657952782--25,P0,1000275,A_B_A,204,210,0.600553546,1
00000247--b657952782--25,P0,1000294,A_B_A,232,234,0.19995432800000001,1
00000247--b657952782--25,P0,1000535,A_B_A,450,452,0.1913854,1
00000247--b657952782--25,P0,1000572,A_B_A,472,483,1.091170843,1
00000247--b657952782--25,P0,1000626,A_B_A,538,542,0.400468908,1
00000247--b657952782--25,P0,1000626,A_B_A,541,543,0.200445063,1
00000247--b657952782--25,P0,1000634,A_B_A,536,538,0.199445792,1
00000247--b657952782--25,P0,1000645,A_B_A,549,551,0.19927813100000002,1
00000247--b657952782--25,P0,1000633,A_B_A,543,545,0.199642021,1
00000247--b657952782--25,P0,1000633,A_B_A,544,547,0.301560625,1
00000247--b657952782--25,P0,1000633,A_B_A,546,550,0.39991880700000004,1
00000247--b657952782--25,P0,1000633,A_B_A,549,551,0.19927813100000002,1
00000247--b657952782--25,P0,1000663,A_B_A,546,550,0.39991880700000004,1
00000247--b657952782--25,P0,1000663,A_B_A,549,551,0.19927813100000002,1
00000247--b657952782--26,P0,1000304,A_B_A,218,220,0.199643539,1
00000247--b657952782--26,P0,1000400,A_B_A,318,320,0.19963676800000002,1
00000247--b657952782--26,P0,1000400,A_B_A,319,321,0.19979342700000002,1
00000247--b657952782--26,P0,1000410,A_B_A,318,320,0.19963676800000002,1
00000247--b657952782--26,P0,1000410,A_B_A,319,321,0.19979342700000002,1
00000247--b657952782--26,P0,1000413,A_B_A,318,320,0.19963676800000002,1
00000247--b657952782--26,P0,1000546,A_B_A,426,431,0.49762957300000005,1
00000247--b657952782--26,P0,1000746,A_B_A,543,549,0.599933692,1
00000247--b657952782--27,P0,1000001,A_B_A,2,4,0.198193739,1
00000247--b657952782--27,P0,1000001,A_B_A,3,10,0.700764481,1
00000247--b657952782--27,P0,1000018,A_B_A,9,13,0.400570352,1
00000247--b657952782--27,P0,1000018,A_B_A,12,34,2.2021428690000002,1
00000247--b657952782--27,P0,1000101,A_B_A,81,85,0.398403129,1
00000247--b657952782--27,P0,1000113,A_B_A,81,84,0.298514769,1
00000247--b657952782--27,P0,1000198,A_B_A,139,141,0.20011139900000002,1
00000247--b657952782--27,P0,1000394,A_B_A,281,296,1.500189263,1
00000247--b657952782--27,P0,1000411,A_B_A,277,281,0.400237143,1
00000247--b657952782--27,P0,1000391,A_B_A,280,282,0.199310377,1
00000247--b657952782--27,P0,1000391,A_B_A,281,289,0.801508475,1
00000247--b657952782--27,P0,1000420,A_B_A,280,304,2.399603304,1
00000247--b657952782--27,P0,1000420,A_B_A,303,310,0.700414783,1
00000247--b657952782--27,P0,1000435,A_B_A,283,298,1.500666314,1
00000247--b657952782--27,P0,1000435,A_B_A,297,303,0.600128219,1
00000247--b657952782--27,P0,1000435,A_B_A,302,309,0.700324006,1
00000247--b657952782--27,P0,1000435,A_B_A,308,310,0.19997719900000002,1
00000247--b657952782--27,P0,1000432,A_B_A,303,310,0.700414783,1
