key,policy,scans,baseline_rep_changes,candidate_rep_changes,suppressed_transitions,suppressed_pingpong_returns,grouping_mismatch,pid_mismatch,member_mismatch,stale_representative,publication_changed_scans,legacy_p1_publication_changed_scans,publication_set_changed_scans,alias_changed_scans,aLead_changed_scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed,state_peak,cutin_delay_ms,cutin_target_coordinate_changed_scans,route2bc_window_scans,route2bc_window_regression_scans,route2bc_window_rep_changes,p0_publication_duration_delta_scans
00000280--91181081d4--22,E,600,22,22,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--23,E,600,52,46,6,4,0,0,0,0,17,17,0,0,56,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--24,E,600,149,137,20,8,0,19,19,0,179,179,18,159,57,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--25,E,600,128,96,36,21,0,45,45,0,431,431,27,400,125,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--29,E,599,66,60,8,5,0,0,0,0,11,11,0,0,26,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--30,E,599,245,209,42,31,0,4,4,0,56,56,0,0,178,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--31,E,600,167,156,18,9,0,7,7,0,226,226,7,209,97,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--32,E,599,26,24,3,1,0,0,0,0,7,7,0,0,21,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--33,E,600,254,174,87,55,0,79,79,0,253,253,22,129,541,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--34,E,600,28,26,2,1,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--35,E,600,130,104,29,19,0,0,0,0,61,61,0,0,180,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--36,E,600,183,162,21,16,0,16,16,0,46,46,8,18,113,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--37,E,600,40,36,7,4,0,0,0,0,65,65,0,0,90,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--38,E,600,40,21,21,10,0,10,10,0,185,185,4,164,91,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--39,E,600,68,58,11,7,0,113,113,0,127,127,113,113,122,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--4,E,600,97,71,26,17,0,3,3,0,222,222,2,190,144,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--40,E,600,95,80,20,9,0,29,29,0,138,138,28,111,82,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--41,E,600,64,54,15,4,0,3,3,0,51,51,0,0,76,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--42,E,600,47,39,10,5,0,36,36,0,126,126,14,72,105,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--43,E,600,62,54,11,3,0,0,0,0,63,63,0,0,106,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--44,E,600,71,61,9,3,0,72,72,0,375,375,71,359,113,148,148,0,148,0,0,0,0,0,,,,,,
00000280--91181081d4--5,E,599,86,74,15,7,0,28,28,0,203,203,28,166,129,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--6,E,600,89,78,13,5,0,10,10,0,201,201,5,168,156,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--7,E,600,119,111,8,6,0,3,3,0,397,397,3,385,38,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--8,E,600,67,65,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--9,E,600,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--0,E,620,97,81,21,8,0,0,0,0,47,47,0,0,165,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--1,E,600,31,29,2,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--10,E,600,118,110,9,7,0,0,0,0,19,19,0,0,36,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--11,E,600,36,26,11,7,0,0,0,0,18,18,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--12,E,600,140,115,28,17,0,11,11,0,55,55,0,0,103,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--13,E,600,28,24,6,4,0,0,0,0,14,14,0,0,44,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--14,E,600,26,20,7,4,0,0,0,0,9,9,0,0,46,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--15,E,600,28,26,2,1,0,0,0,0,1,1,0,0,30,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--16,E,600,11,10,2,0,0,30,30,0,113,113,28,109,27,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--17,E,599,33,29,6,4,0,0,0,0,24,24,0,0,34,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--18,E,599,32,28,7,4,0,0,0,0,14,14,0,0,60,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--19,E,600,38,34,8,5,0,0,0,0,14,14,0,0,30,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--2,E,600,36,34,2,1,0,0,0,0,5,5,0,0,8,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--20,E,599,51,46,8,3,0,0,0,0,22,22,0,0,55,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--21,E,600,46,44,5,4,0,0,0,0,10,10,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--22,E,600,37,32,5,2,0,11,11,0,104,104,2,89,64,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--23,E,599,79,60,22,17,0,2,2,0,53,53,1,1,53,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--24,E,599,153,139,18,9,0,0,0,0,18,18,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,
00000283--b395338ef9--25,E,600,127,109,22,9,0,17,17,0,253,253,16,238,148,0,0,0,0,0,0,0,0,0,,,,,,
