key,policy,scans,aLead_changed_scans,lead_aLead_changed
00000255--d1d0ee73c5--29,E2,600,5,0
00000255--d1d0ee73c5--29,E3,600,5,0
00000255--d1d0ee73c5--29,E4,600,5,0
00000255--d1d0ee73c5--29,E5,600,70,0
00000255--d1d0ee73c5--30,E,600,41,0
00000255--d1d0ee73c5--30,E1,600,7,0
00000255--d1d0ee73c5--30,E2,600,37,0
00000255--d1d0ee73c5--30,E3,600,37,0
00000255--d1d0ee73c5--30,E4,600,12,0
00000255--d1d0ee73c5--30,E5,600,460,0
00000255--d1d0ee73c5--31,E,600,12,0
00000255--d1d0ee73c5--31,E1,600,0,0
00000255--d1d0ee73c5--31,E2,600,12,0
00000255--d1d0ee73c5--31,E3,600,12,0
00000255--d1d0ee73c5--31,E4,600,0,0
00000255--d1d0ee73c5--31,E5,600,87,0
00000255--d1d0ee73c5--32,E,600,36,0
00000255--d1d0ee73c5--32,E1,600,0,0
00000255--d1d0ee73c5--32,E2,600,36,0
00000255--d1d0ee73c5--32,E3,600,36,0
00000255--d1d0ee73c5--32,E4,600,0,0
00000255--d1d0ee73c5--32,E5,600,393,0
00000255--d1d0ee73c5--33,E,600,163,0
00000255--d1d0ee73c5--33,E1,600,68,0
