key,policy,scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed
00000254--0ac259250e--14,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--14,E5,600,453,453,0,0,0,0,0,453
00000254--0ac259250e--15,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--15,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--15,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--15,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--15,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--15,E5,600,41,41,0,0,0,0,0,41
00000254--0ac259250e--16,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--16,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--16,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--16,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--16,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--16,E5,600,285,285,0,0,0,0,0,285
00000254--0ac259250e--17,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--17,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--17,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--17,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--17,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--17,E5,600,1,1,0,1,0,0,0,0
00000254--0ac259250e--18,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--18,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--18,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--18,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--18,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--18,E5,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--19,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--19,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--19,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--19,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--19,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--19,E5,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--2,E,599,4,4,0,0,0,0,0,4
00000254--0ac259250e--2,E1,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--2,E2,599,4,4,0,0,0,0,0,4
00000254--0ac259250e--2,E3,599,4,4,0,0,0,0,0,4
00000254--0ac259250e--2,E4,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--2,E5,599,34,34,0,4,0,0,0,30
00000254--0ac259250e--20,E,600,1,1,0,1,0,0,0,0
00000254--0ac259250e--20,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--20,E2,600,1,1,0,1,0,0,0,0
00000254--0ac259250e--20,E3,600,1,1,0,1,0,0,0,0
00000254--0ac259250e--20,E4,600,1,1,0,1,0,0,0,0
00000254--0ac259250e--20,E5,600,45,45,0,45,0,0,0,0
00000254--0ac259250e--21,E,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--21,E1,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--21,E2,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--21,E3,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--21,E4,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--21,E5,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--22,E,600,121,121,0,121,0,0,0,0
00000254--0ac259250e--22,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--22,E2,600,121,121,0,121,0,0,0,0
00000254--0ac259250e--22,E3,600,121,121,0,121,0,0,0,0
00000254--0ac259250e--22,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--22,E5,600,123,123,0,123,0,0,0,0
00000254--0ac259250e--23,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--23,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--23,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--23,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--23,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--23,E5,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--24,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--24,E1,600,0,0,0,0,0,0,0,0
