event_id,scan,pid,category,abs_delta_d,abs_delta_y,abs_delta_v,publication_divergence_scans,publication_divergence_duration_s,key,policy
00000247--b657952782--0:545:1000694,545,1000694,R4_GROUP_SPLIT_REP_CHANGE,1.5,0.0,0.0,19,1.9002803830000001,00000247--b657952782--0,E
00000247--b657952782--0:548:1000785,548,1000785,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.25,0.96875,0.0,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:553:1000765,553,1000765,R1_STABLE_GROUP_REP_CHANGE,1.5,0.1875,0.0,3,0.19886658200000001,00000247--b657952782--0,E
00000247--b657952782--0:553:1000796,553,1000796,R1_STABLE_GROUP_REP_CHANGE,1.5,0.09375,0.25,3,0.19886658200000001,00000247--b657952782--0,E
00000247--b657952782--0:553:1000822,553,1000822,R1_STABLE_GROUP_REP_CHANGE,1.5,0.0,0.25,3,0.19886658200000001,00000247--b657952782--0,E
00000247--b657952782--0:554:1000796,554,1000796,R5_GROUP_MERGE_REP_CHANGE,0.5,0.0,0.25,3,0.19886658200000001,00000247--b657952782--0,E
00000247--b657952782--0:554:1000822,554,1000822,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.03125,0.25,3,0.19886658200000001,00000247--b657952782--0,E
00000247--b657952782--0:555:1000765,555,1000765,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.0,0.0,3,0.19886658200000001,00000247--b657952782--0,E
00000247--b657952782--0:556:1000796,556,1000796,R5_GROUP_MERGE_REP_CHANGE,0.25,0.21875,0.0,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:559:1000796,559,1000796,R1_STABLE_GROUP_REP_CHANGE,1.25,0.53125,0.0,19,1.8005611670000001,00000247--b657952782--0,E
00000247--b657952782--0:590:1000854,590,1000854,R1_STABLE_GROUP_REP_CHANGE,1.25,0.09375,0.0,17,1.599941014,00000247--b657952782--0,E
00000247--b657952782--0:596:1000888,596,1000888,R1_STABLE_GROUP_REP_CHANGE,1.0,0.25,0.0,17,1.599941014,00000247--b657952782--0,E
00000247--b657952782--0:597:1000854,597,1000854,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.4375,0.0,17,1.599941014,00000247--b657952782--0,E
00000247--b657952782--1:39:1000059,39,1000059,R5_GROUP_MERGE_REP_CHANGE,0.5,1.0625,0.25,5,0.39990499700000004,00000247--b657952782--1,E
00000247--b657952782--1:39:1000063,39,1000063,R1_STABLE_GROUP_REP_CHANGE,1.25,0.03125,0.0,5,0.39990499700000004,00000247--b657952782--1,E
00000247--b657952782--1:44:1000063,44,1000063,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.40625,0.0,0,0.0,00000247--b657952782--1,E
00000247--b657952782--1:74:1000106,74,1000106,R1_STABLE_GROUP_REP_CHANGE,1.0,0.4375,0.25,4,0.299020104,00000247--b657952782--1,E
00000247--b657952782--1:74:1000112,74,1000112,R1_STABLE_GROUP_REP_CHANGE,0.0,0.5,0.0,4,0.299020104,00000247--b657952782--1,E
00000247--b657952782--1:77:1000112,77,1000112,R4_GROUP_SPLIT_REP_CHANGE,0.5,0.4375,0.25,4,0.299020104,00000247--b657952782--1,E
00000247--b657952782--1:118:1000182,118,1000182,R1_STABLE_GROUP_REP_CHANGE,0.25,0.3125,0.0,1,0.0,00000247--b657952782--1,E
00000247--b657952782--1:119:1000182,119,1000182,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.875,0.0,0,0.0,00000247--b657952782--1,E
00000247--b657952782--1:210:1000287,210,1000287,R1_STABLE_GROUP_REP_CHANGE,1.0,0.1875,0.25,9,0.800063417,00000247--b657952782--1,E
00000247--b657952782--1:219:1000287,219,1000287,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.0,0.0625,0.5,0,0.0,00000247--b657952782--1,E
00000247--b657952782--1:243:1000314,243,1000314,R1_STABLE_GROUP_REP_CHANGE,1.0,0.1875,0.5,3,0.19941222700000003,00000247--b657952782--1,E
00000247--b657952782--1:246:1000314,246,1000314,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.09375,0.25,0,0.0,00000247--b657952782--1,E
00000247--b657952782--1:265:1000307,265,1000307,R1_STABLE_GROUP_REP_CHANGE,1.25,0.03125,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:265:1000314,265,1000314,R1_STABLE_GROUP_REP_CHANGE,1.0,0.28125,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:277:1000335,277,1000335,R1_STABLE_GROUP_REP_CHANGE,1.25,0.15625,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:279:1000314,279,1000314,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.25,0.0625,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:286:1000335,286,1000335,R5_GROUP_MERGE_REP_CHANGE,0.5,0.46875,0.25,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:287:1000335,287,1000335,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.25,0.46875,0.25,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:295:1000346,295,1000346,R1_STABLE_GROUP_REP_CHANGE,1.0,0.15625,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:295:1000367,295,1000367,R1_STABLE_GROUP_REP_CHANGE,1.0,0.03125,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:298:1000367,298,1000367,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.03125,0.25,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:305:1000335,305,1000335,R1_STABLE_GROUP_REP_CHANGE,1.0,0.0625,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:318:1000335,318,1000335,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.0,0.0,0.0,56,5.5008411520000005,00000247--b657952782--1,E
00000247--b657952782--1:442:1000571,442,1000571,R1_STABLE_GROUP_REP_CHANGE,0.5,0.28125,0.25,17,1.59019981,00000247--b657952782--1,E
00000247--b657952782--1:442:1000616,442,1000616,R5_GROUP_MERGE_REP_CHANGE,0.0,0.75,0.0,17,1.59019981,00000247--b657952782--1,E
00000247--b657952782--1:453:1000635,453,1000635,R5_GROUP_MERGE_REP_CHANGE,0.5,1.46875,0.5,17,1.59019981,00000247--b657952782--1,E
00000247--b657952782--1:457:1000635,457,1000635,R2_MEMBER_DISAPPEAR_REP_CHANGE,1.25,3.90625,1.0,17,1.59019981,00000247--b657952782--1,E
00000247--b657952782--12:261:1000102,261,1000102,R5_GROUP_MERGE_REP_CHANGE,0.0,0.53125,0.0,2,0.101154407,00000247--b657952782--12,E
00000247--b657952782--12:487:1000225,487,1000225,R1_STABLE_GROUP_REP_CHANGE,1.0,0.125,0.0,3,0.19995226300000002,00000247--b657952782--12,E
00000247--b657952782--12:490:1000225,490,1000225,R1_STABLE_GROUP_REP_CHANGE,0.0,0.6875,0.25,0,0.0,00000247--b657952782--12,E
00000247--b657952782--12:501:1000261,501,1000261,R1_STABLE_GROUP_REP_CHANGE,2.25,0.125,0.25,10,0.900412724,00000247--b657952782--12,E
00000247--b657952782--13:54:1000080,54,1000080,R1_STABLE_GROUP_REP_CHANGE,0.5,0.1875,0.0,3,0.200060708,00000247--b657952782--13,E
