score_delta_rounded_1e6,count,within_0_25
0.058235,1,1
0.058282,1,1
0.058322,1,1
0.058326,1,1
0.058373,1,1
0.058509,1,1
0.058533,1,1
0.05861,2,1
0.058744,1,1
0.058766,1,1
0.058767,1,1
0.058768,1,1
0.05878,1,1
0.058787,1,1
0.05888,1,1
0.058922,1,1
0.058953,1,1
0.059016,1,1
0.059069,1,1
0.059095,1,1
0.059163,1,1
0.059233,1,1
0.059245,1,1
0.059267,1,1
0.059299,1,1
0.059354,1,1
0.059358,1,1
0.059383,1,1
0.059414,1,1
0.059448,1,1
0.059469,1,1
0.059535,1,1
0.05963,1,1
0.059719,1,1
0.059781,1,1
0.059794,1,1
0.059954,1,1
0.059982,1,1
0.060074,1,1
0.060103,1,1
0.060142,1,1
0.06026,1,1
0.060286,1,1
0.060329,1,1
0.060334,1,1
0.060415,1,1
0.060442,1,1
0.060506,1,1
0.060569,1,1
0.060626,2,1
0.060691,1,1
0.060709,1,1
0.060713,1,1
0.060731,1,1
0.060741,1,1
0.06077,1,1
0.060799,1,1
0.060889,1,1
0.060904,1,1
0.060951,1,1
0.060955,1,1
0.06105,1,1
0.061082,1,1
0.061203,1,1
0.061227,1,1
0.061248,1,1
0.061263,1,1
0.06131,1,1
0.061382,1,1
0.061412,1,1
0.061471,1,1
0.061473,1,1
0.061521,1,1
0.061546,1,1
0.061627,1,1
0.06164,1,1
0.061645,1,1
0.061652,1,1
0.061703,1,1
0.06172,1,1
0.061722,1,1
0.061723,1,1
0.061751,1,1
0.061768,1,1
0.061799,1,1
0.061848,1,1
0.061851,1,1
0.061877,1,1
0.061879,1,1
0.061894,1,1
