key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000247--b657952782--33,P2,426,2093703105287,1000146,138,140,-1.25,-0.0625,0.0,-0.10420295168785114,P2_CAUSAL_PINGPONG
00000247--b657952782--38,P2,65,2357632767670,1000043,46,44,-0.25540924072265625,0.6875,-0.25,-4.804592265289157,P2_CAUSAL_PINGPONG
00000247--b657952782--38,P2,66,2357733104945,1000043,46,44,-0.40653228759765625,0.6875,-0.25,-6.0045922652891575,P2_CAUSAL_PINGPONG
00000247--b657952782--6,P2,87,439832620028,1000149,124,146,1.75,0.28125,0.0,2.832974009982707e-06,P2_CAUSAL_PINGPONG
00000247--b657952782--6,P2,95,440632711785,1000187,175,182,1.5058021545410156,-0.40625,0.25,-0.10317884734012789,P2_CAUSAL_PINGPONG
00000247--b657952782--6,P2,226,453733013885,1000363,332,342,0.5,0.78125,0.0,-0.03735958617853588,P2_CAUSAL_PINGPONG
00000247--b657952782--6,P2,227,453833209821,1000371,350,340,-1.25,0.0625,0.0,-0.0013112510897460932,P2_CAUSAL_PINGPONG
00000247--b657952782--6,P2,236,454732368334,1000371,350,340,-0.75,-0.25,0.0,-0.13600512479852045,P2_CAUSAL_PINGPONG
00000247--b657952782--6,P2,241,455232523737,1000374,343,367,-1.2556915283203125,0.03125,-0.25,1.0054330092851258,P2_CAUSAL_PINGPONG
00000247--b657952782--7,P2,169,508033277885,1000168,159,161,-0.5,0.875,0.0,0.012519956781806618,P2_CAUSAL_PINGPONG
00000247--b657952782--7,P2,172,508333302390,1000168,159,161,-0.25,0.6875,0.0,0.0027043106648702293,P2_CAUSAL_PINGPONG
00000247--b657952782--7,P2,210,512132763062,1000168,159,161,-1.2532501220703125,-0.1875,-0.25,0.09954216366493684,P2_CAUSAL_PINGPONG
00000247--b657952782--8,P2,274,578524398724,1000112,127,113,1.247283935546875,0.75,-0.25,-0.4912567459680765,P2_CAUSAL_PINGPONG
00000247--b657952782--8,P2,274,578524398724,1000126,124,126,1.3487739562988281,-0.34375,0.25,-0.7976855796426572,P2_CAUSAL_PINGPONG
00000252--d191bee66c--0,P2,359,108548012879,1000058,50,52,1.491762399673462,-0.09375,-0.25,0.4020616802324656,P2_CAUSAL_PINGPONG
00000254--0ac259250e--10,P2,189,674470653741,1000110,92,116,0.8979644775390625,-0.96875,0.5,-0.7765034408726523,P2_CAUSAL_PINGPONG
00000254--0ac259250e--11,P2,11,716650419779,1000031,32,39,0.5,-0.84375,0.0,0.4218180503936457,P2_CAUSAL_PINGPONG
00000254--0ac259250e--11,P2,13,716850417704,1000027,28,31,0.00678253173828125,0.0,0.25,-0.2161739452117029,P2_CAUSAL_PINGPONG
00000254--0ac259250e--11,P2,49,720450717849,1000007,8,53,-1.25,0.09375,0.0,0.026528828185903144,P2_CAUSAL_PINGPONG
00000254--0ac259250e--11,P2,92,724750512476,1000150,148,147,-1.25,0.1875,0.0,-0.14110918323898314,P2_CAUSAL_PINGPONG
00000254--0ac259250e--12,P2,141,789631003551,1000202,173,159,-1.25,0.0,0.0,0.07697635537180797,P2_CAUSAL_PINGPONG
00000254--0ac259250e--12,P2,143,789830242729,1000202,159,173,1.5000004768371582,0.09375,0.0,0.2635774222735692,P2_CAUSAL_PINGPONG
00000254--0ac259250e--12,P2,195,795030682103,1000233,203,204,0.5,0.5,0.0,-0.24883783101598633,P2_CAUSAL_PINGPONG
00000254--0ac259250e--12,P2,196,795131161460,1000233,203,204,0.49310302734375,0.4375,-0.25,-0.14930269860959178,P2_CAUSAL_PINGPONG
00000254--0ac259250e--12,P2,262,801731168551,1000334,297,303,-0.49175453186035156,-0.25,0.25,-1.02000789526529,P2_CAUSAL_PINGPONG
00000254--0ac259250e--12,P2,281,803630542310,1000342,304,309,-3.0,0.25,0.0,-0.23831471814789187,P2_CAUSAL_PINGPONG
00000254--0ac259250e--14,P2,516,947120920332,1000292,283,291,0.6324844360351562,-0.28125,-0.25,0.2590866484276073,P2_CAUSAL_PINGPONG
00000254--0ac259250e--14,P2,518,947320728531,1000292,291,283,-0.6344375610351562,0.28125,0.25,-0.5105982659955496,P2_CAUSAL_PINGPONG
