case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R264_S6_SPLIT,route264,6,5.299726,438261609812,0|12,1|32,1000037,69,2.25,0.34375,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.400165,438362049136,17|26,9|25,1000000,32,5.5,-0.0625,0.0,9|25,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.400165,438362049136,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.499795,438461678426,17|26,9|25,1000000,32,5.5,-0.0625,0.0,9|25,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.499795,438461678426,0|12,1|32,1000037,69,2.25,0.34375,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.600082,438561966204,17|18|26,9|25|36,1000000,32,5.5,-0.0625,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.600082,438561966204,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.699878,438661762200,17|18|26,9|25|36,1000000,32,5.5,-0.0625,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.699878,438661762200,0|12,1|32,1000037,69,2.0,0.34375,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.799865,438761749074,17|18|26,9|25|36,1000000,32,5.5,-0.0625,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
