key,policy,scan,scan_ns,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000252--d191bee66c--1,E,364,170748724431,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,365,170848849242,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,366,170948668437,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,367,171048700558,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,368,171148725493,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,369,171248687971,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,370,171348546038,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,371,171448565114,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,372,171548893558,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,373,171648210480,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,374,171748102707,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,375,171848145112,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,376,171948109824,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,377,172047823805,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,378,172149720587,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,379,172249716006,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,380,172348563806,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,381,172448530820,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,382,172548930876,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,383,172647742069,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,384,172748970040,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,385,172848851445,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,386,172948359744,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,387,173048366282,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,388,173148757850,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,389,173248607941,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,390,173348076502,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,391,173447900568,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,392,173548090296,LEAD_ID_CHANGED,87,36,-1,-1
